ID: 1105969631863267328, retweet: 0
ID: 1106644262005981184, retweet: 0
ID: 1106167089285390341, retweet: 0
ID: 1106369140204453888, retweet: 1
ID: 1105950737652215810, retweet: 0
ID: 1106043629276221440, retweet: 0
ID: 1106582710334558208, retweet: 0
ID: 1106243220118351872, retweet: 3
ID: 1106646114755899397, retweet: 0
ID: 1105982923583426560, retweet: 0
ID: 1106424019715309568, retweet: 0
ID: 1106664328697122816, retweet: 0
ID: 1106393969666064384, retweet: 0
ID: 1106367968257159168, retweet: 0
ID: 1106369089159815169, retweet: 0
ID: 1106293836144406535, retweet: 0
ID: 1106562006935441409, retweet: 0
ID: 1106222265312509952, retweet: 0
ID: 1106034248408915971, retweet: 0
ID: 1106651559033602048, retweet: 0
ID: 1106329780381732865, retweet: 0
ID: 1105962479308492802, retweet: 0
ID: 1106697174849449984, retweet: 0
ID: 1106498716100370432, retweet: 0
ID: 1106534114260332545, retweet: 0
ID: 1106452558367870976, retweet: 3
ID: 1105942927547600897, retweet: 0
ID: 1106627411989487619, retweet: 0
ID: 1106201513192574976, retweet: 0
ID: 1106324839181271040, retweet: 0
ID: 1106141574243717120, retweet: 0
ID: 1106315151332958208, retweet: 0
ID: 1106289092088774656, retweet: 0
ID: 1106480205286309888, retweet: 0
ID: 1106169425521106946, retweet: 0
ID: 1105962789607301120, retweet: 0
ID: 1106497008322441221, retweet: 0
ID: 1106144027039154176, retweet: 3
ID: 1106018429805326336, retweet: 0
ID: 1106608800369246209, retweet: 0
ID: 1106440025116475393, retweet: 0
ID: 1106140703283924992, retweet: 0
ID: 1106103891463233538, retweet: 0
ID: 1106367644377235456, retweet: 0
ID: 1106551563361943553, retweet: 0
ID: 1105942289703206912, retweet: 0
ID: 1106391170970779648, retweet: 0
ID: 1106687349834932224, retweet: 0
ID: 1105955401315565568, retweet: 0
ID: 1106432116324220928, retweet: 0
ID: 1106061915883606016, retweet: 0
ID: 1106199434654830593, retweet: 0
ID: 1106192370062757888, retweet: 0
ID: 1106554455623761926, retweet: 0
ID: 1105938853515411456, retweet: 0
ID: 1106571358606184448, retweet: 0
ID: 1106644243488165888, retweet: 0
ID: 1106333604055912448, retweet: 0
ID: 1106497992025092096, retweet: 0
ID: 1106606619184558085, retweet: 0
ID: 1106092745402212352, retweet: 2
ID: 1106209728919752704, retweet: 0
ID: 1106292807822688257, retweet: 0
ID: 1106217879773605889, retweet: 1
ID: 1106118272955674625, retweet: 0
ID: 1106433242926731264, retweet: 0
ID: 1106327174573887489, retweet: 0
ID: 1106017533537251329, retweet: 1
ID: 1106085066608910336, retweet: 0
ID: 1106477538589753344, retweet: 0
ID: 1106368425406984193, retweet: 3
ID: 1106411477811036160, retweet: 0
ID: 1105997368598630401, retweet: 0
ID: 1106627301050142720, retweet: 0
ID: 1106579345525612546, retweet: 0
ID: 1106494057344196608, retweet: 0
ID: 1105958708318736388, retweet: 0
ID: 1106372144374710273, retweet: 27
ID: 1106062432001232896, retweet: 1
ID: 1106301982279634962, retweet: 0
ID: 1106358100875862016, retweet: 0
ID: 1106286388444446721, retweet: 0
ID: 1106325349992787969, retweet: 1
ID: 1106061239745052672, retweet: 0
ID: 1106693865577287680, retweet: 0
ID: 1105970069979291648, retweet: 1
ID: 1106199633556996096, retweet: 0
ID: 1106034765453377536, retweet: 0
ID: 1106369749670420481, retweet: 0
ID: 1106636987816165376, retweet: 0
ID: 1106412992344649728, retweet: 0
ID: 1106388499845074945, retweet: 0
ID: 1106570302362771456, retweet: 0
ID: 1106676883020808192, retweet: 0
ID: 1106252114081271809, retweet: 0
ID: 1105958067181506560, retweet: 0
ID: 1106032834114777088, retweet: 0
ID: 1105978852998828037, retweet: 1
ID: 1106092621586419718, retweet: 0
ID: 1105992998117142530, retweet: 0
ID: 1106457084768464897, retweet: 0
ID: 1106014164810514432, retweet: 0
ID: 1106084060366077953, retweet: 3
ID: 1106677739065626624, retweet: 0
ID: 1106643566544203777, retweet: 0
ID: 1106121796871438337, retweet: 0
ID: 1106574421114974208, retweet: 0
